Nom,prix,link,marque,Description,modele,couleur,cathegorie,identification,file_name
Generic Tondeuse HTC pour Barbe et tête professionnelle  - AT 206,2500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/64379/1.jpg?7183,Generic,"['Qualité professionnelle', 'Rechargeable et à batterie interchangeable', 'Tête de coupe en metal', '1 sabots', 'Moteur silencieux et ultra puissant.', '220V, 3W', 'Bruit inferieur à 70dB']",HTC,Blanc,beaute-hygiene-sante,0,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\0_Generic_Tondeuse_HTC_pour_Barbe_et_t_te_professionnelle__-_AT_206.jpg
Nova Gel Douche Classic - 300ML,480,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/26519/1.jpg?9815,Nova,"['Type Produit : Soin Corps', 'Marque : Nova', 'Nom : Gel Douche', 'Contenance : 300 ML', 'Livraison à domicile ou en point relais']",1,Jumia Mall,beaute-hygiene-sante,1,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1_Nova_Gel_Douche_Classic_-_300ML.jpg
Day By Day Men Déodorant Bille Roll On Men Classic Vert 50 Ml,490,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/637121/1.jpg?3726,Day By Day Men,"['Type De Produit: Hygiène Corps', 'Marque:\xa0Day By Day Men', 'Livraison à Domicile ou en Point Relai', 'Quantité: 1']",1,bleu,beaute-hygiene-sante,3,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\3_Day_By_Day_Men_D_odorant_Bille_Roll_On_Men_Classic_Vert_50_Ml.jpg
Lanbena Liquide blanchissant dentaire biologique - 10 ml,1350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/864121/1.jpg?7342,Lanbena,"['Effet blanchissant.', 'Efficace pour enlever las taches de thé, de café et d’autres pigments sur les dents, et pour éliminer la plaque.', ""Blanchiment des dents, réduction de la saleté des dents, amélioration de l'hygiène buccodentaire, réduction des maladies buccales."", ""Mode d'emploi : verser deux gouttes de liquide sur un disque de coton, puis frotter le disque sur la surface des dents pendant 1 à 2 minutes. Rincer ensuite la bouche avec de l’eau tiède pendant 3 à 5 minutes. Effectuer le traitement une fois par semaine."", ""Type d'article : liquide blanchissant pour les dents."", 'Contenu du colis\u202f:', '1 flacon de 10 ml de liquide blanchissant pour les dents.']",Lb3879,blanche,beaute-hygiene-sante,4,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\4_Lanbena_Liquide_blanchissant_dentaire_biologique_-_10_ml.jpg
Shower to Shower Déodorant Bille Antitranspirant 48h  Musk Alive,790,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/999021/1.jpg?3974,Shower to Shower,"['Type Produit : Déodorant', 'Marque : Shower to Shower', 'Nom : Déodorant Bille', 'Contenance : 50ML', 'Livraison à domicile ou en point relais']",.1,Rose,beaute-hygiene-sante,5,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\5_Shower_to_Shower_D_odorant_Bille_Antitranspirant_48h__Musk_Alive.jpg
Generic Tondeuse à Cheveux Electrique Rechargeable  - Noir,2750,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/36019/1.jpg?3322,Generic,"['Puissance : 5W', 'Batterie : batterie lithium-ion 18500 mAh', 'Temps de charge : 3 heures', ""Temps d'utilisation : 3 heures"", 'Méthode de charge : charge de la batteriecharge directe USB', 'Ajustement fin de la tête de coupe à double usage : pas de zéro réglable', ""Type de tête d'outil: dents denses de sécurité à angle aigu""]",B02,Noir,beaute-hygiene-sante,6,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\6_Generic_Tondeuse___Cheveux_Electrique_Rechargeable__-_Noir.jpg
TOPICREM Duo UH LAIT CORPS  2x500ML,13990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/717121/1.jpg?3599,TOPICREM,"['Lait Corps 2x500 ml.', 'Hydrate pendant 24h les peaux sèches et sensibles.', 'Riche en agents hydratants.', 'Pénètre rapidement et fait disparaître les signes de sécheresse cutanée.', 'Idéal pour les peaux sèches, déshydratées.']",1,Blanc,beaute-hygiene-sante,7,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\7_TOPICREM_Duo_UH_LAIT_CORPS__2x500ML.jpg
Shower to Shower Déodorant Bille Homme Invisible Dry 48h - 50ml,790,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/707121/1.jpg?9777,Shower to Shower,"['Type Produit : Déodorant', 'Marque : Shower to Shower', 'Nom : Déodorant Men', 'Contenance : 50ML', 'Livraison à domicile ou en point relais']",1,Blanc,beaute-hygiene-sante,8,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\8_Shower_to_Shower_D_odorant_Bille_Homme_Invisible_Dry_48h_-_50ml.jpg
Deliya Sèche-cheveux - 2200W - 6 Composants Offerts - Noir,4701,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/602401/1.jpg?6265,Deliya,"['Matériel: ABS', 'Puissance: 2200W', 'Tension: 220V', 'Température: 3 (air froid, air chaud, air chaud)', 'Vitesse du vent: 2 (vent doux, vent fort)', 'Emballage: sèche-cheveux x 1 + 6 cadeaux']",SN1001,Noir,beaute-hygiene-sante,9,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\9_Deliya_S_che-cheveux_-_2200W_-_6_Composants_Offerts_-_Noir.jpg
Bio Naturelle Attoté original 100% naturel 500ml,4950,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/30288/1.jpg?1649,Bio Naturelle,['Faiblesse Sexuelle'],500ml,Neutre,beaute-hygiene-sante,10,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\10_Bio_Naturelle_Attot__original_100__naturel_500ml.jpg
