Nom,prix,link,marque,Description,modele,couleur,cathegorie
Generic Tondeuse HTC pour Barbe et tête professionnelle  - AT 206,2500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/64379/1.jpg?7183,Generic,"['Qualité professionnelle', 'Rechargeable et à batterie interchangeable', 'Tête de coupe en metal', '1 sabots', 'Moteur silencieux et ultra puissant.', '220V, 3W', 'Bruit inferieur à 70dB']",HTC,Blanc,beaute-hygiene-sante
Nova Gel Douche Classic - 300ML,480,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/26519/1.jpg?9815,Nova,"['Type Produit : Soin Corps', 'Marque : Nova', 'Nom : Gel Douche', 'Contenance : 300 ML', 'Livraison à domicile ou en point relais']",1,Jumia Mall,beaute-hygiene-sante
Generic Tondeuse A Cheveux Rechargeable - Noir / Or,3350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/68849/1.jpg?1409,Generic,"['Type de Produit : Tondeuse A Cheveux Rechargeable', 'Sexe : Homme', ""Style de l'article : Dragon d'or"", ""Tension d'entrée : Universelle (100-240V), 5060 z"", 'Type de prise : EU.US.UK (ajouter un adaptateur). AU (ajouter un adaptateur)', ""Type d'alimentation : Rechargeable"", 'Méthode de chargement : Station de charge USB', 'Batterie : 3.7V', 'Capacité de la batterie : 1200mA', ""Résistance à l'usure"", 'Facile à nettoyer', 'Bouton ON  OFF', 'Interrupteur à un bouton facile à utiliser.', 'Salon de coiffure professionnel', 'Taille : 135mm * 40mm * 25mm', 'Poids : 0.22kg', ""Veuillez charger complètement l'appareil avant de l'utiliser""]",N/A,Noir / Or,beaute-hygiene-sante
Day By Day Men Déodorant Bille Roll On Men Classic Vert 50 Ml,490,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/637121/1.jpg?3726,Day By Day Men,"['Type De Produit: Hygiène Corps', 'Marque:\xa0Day By Day Men', 'Livraison à Domicile ou en Point Relai', 'Quantité: 1']",1,bleu,beaute-hygiene-sante
Lanbena Liquide blanchissant dentaire biologique - 10 ml,1350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/864121/1.jpg?7342,Lanbena,"['Effet blanchissant.', 'Efficace pour enlever las taches de thé, de café et d’autres pigments sur les dents, et pour éliminer la plaque.', ""Blanchiment des dents, réduction de la saleté des dents, amélioration de l'hygiène buccodentaire, réduction des maladies buccales."", ""Mode d'emploi : verser deux gouttes de liquide sur un disque de coton, puis frotter le disque sur la surface des dents pendant 1 à 2 minutes. Rincer ensuite la bouche avec de l’eau tiède pendant 3 à 5 minutes. Effectuer le traitement une fois par semaine."", ""Type d'article : liquide blanchissant pour les dents."", 'Contenu du colis\u202f:', '1 flacon de 10 ml de liquide blanchissant pour les dents.']",Lb3879,blanche,beaute-hygiene-sante
Shower to Shower Déodorant Bille Antitranspirant 48h  Musk Alive,790,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/999021/1.jpg?3974,Shower to Shower,"['Type Produit : Déodorant', 'Marque : Shower to Shower', 'Nom : Déodorant Bille', 'Contenance : 50ML', 'Livraison à domicile ou en point relais']",.1,Rose,beaute-hygiene-sante
Generic Tondeuse à Cheveux Electrique Rechargeable  - Noir,2750,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/36019/1.jpg?3322,Generic,"['Puissance : 5W', 'Batterie : batterie lithium-ion 18500 mAh', 'Temps de charge : 3 heures', ""Temps d'utilisation : 3 heures"", 'Méthode de charge : charge de la batteriecharge directe USB', 'Ajustement fin de la tête de coupe à double usage : pas de zéro réglable', ""Type de tête d'outil: dents denses de sécurité à angle aigu""]",B02,Noir,beaute-hygiene-sante
TOPICREM Duo UH LAIT CORPS  2x500ML,13990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/717121/1.jpg?3599,TOPICREM,"['Lait Corps 2x500 ml.', 'Hydrate pendant 24h les peaux sèches et sensibles.', 'Riche en agents hydratants.', 'Pénètre rapidement et fait disparaître les signes de sécheresse cutanée.', 'Idéal pour les peaux sèches, déshydratées.']",1,Blanc,beaute-hygiene-sante
Shower to Shower Déodorant Bille Homme Invisible Dry 48h - 50ml,790,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/707121/1.jpg?9777,Shower to Shower,"['Type Produit : Déodorant', 'Marque : Shower to Shower', 'Nom : Déodorant Men', 'Contenance : 50ML', 'Livraison à domicile ou en point relais']",1,Blanc,beaute-hygiene-sante
Deliya Sèche-cheveux - 2200W - 6 Composants Offerts - Noir,4701,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/602401/1.jpg?6265,Deliya,"['Matériel: ABS', 'Puissance: 2200W', 'Tension: 220V', 'Température: 3 (air froid, air chaud, air chaud)', 'Vitesse du vent: 2 (vent doux, vent fort)', 'Emballage: sèche-cheveux x 1 + 6 cadeaux']",SN1001,Noir,beaute-hygiene-sante
Bio Naturelle Attoté original 100% naturel 500ml,4950,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/30288/1.jpg?1649,Bio Naturelle,['Faiblesse Sexuelle'],500ml,Neutre,beaute-hygiene-sante
Shower to Shower Déodorant Bille Homme Intense Cool 48h - 50ml,790,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/707121/1.jpg?9822,Shower to Shower,"['Type Produit : Déodorant', 'Marque : Shower to Shower', 'Nom : Déodorant Men', 'Contenance : 50ML', 'Livraison à domicile ou en point relais']",1,Bleu,beaute-hygiene-sante
Lanbena Liquide blanchissant dentaire biologique - 10 ml,1350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/964121/1.jpg?7340,Lanbena,"['Effet blanchissant.', 'Efficace pour enlever las taches de thé, de café et d’autres pigments sur les dents, et pour éliminer la plaque.', ""Blanchiment des dents, réduction de la saleté des dents, amélioration de l'hygiène buccodentaire, réduction des maladies buccales."", ""Mode d'emploi : verser deux gouttes de liquide sur un disque de coton, puis frotter le disque sur la surface des dents pendant 1 à 2 minutes. Rincer ensuite la bouche avec de l’eau tiède pendant 3 à 5 minutes. Effectuer le traitement une fois par semaine."", ""Type d'article : liquide blanchissant pour les dents."", 'Contenu du colis\u202f:', '1 flacon de 10 ml de liquide blanchissant pour les dents.']",Lb3879,blanche,beaute-hygiene-sante
Generic Tondeuse à cheveux  rechargeable PRO - 3W - Blanc,2650,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/29389/1.jpg?0224,Generic,"['Lame T-10 (haute teneur en carbone) en acier', 'Utiliser le temps 50 minutes : Tension 110V  60HZ; 220V  50HZ', 'Type de batterie : NI-CDNI-MH', 'Capacité de la batterie : 800-1500 MAH', ""Tension d'entrée : 110 v-240 v, 50 hz60 hz"", 'Puissance nominale : 3 W', 'Temps de charge : 8-12 heures', 'Utilisation continue après pleine charge : 50 minutes', 'Moteur avancé avec fonctionnement silencieux, pas chaud pour une utilisation continue', 'La lame en acier à haute teneur en carbone est silencieuse et longue durée de vie', 'Entretien et réparation faciles', 'Design à la main mince avec poignée soft-touch.', '15 types de prises de pays', 'Testé et approuvé par les coiffeurs professionnels']",Tondeuse AT206,Blanc,beaute-hygiene-sante
Lanbena Liquide Blanchiment Dentaire Lanbena,1350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/86606/1.jpg?9305,Lanbena,"['Effet blanchissant.', 'Résultat visible dès la 1ère application', 'A long terme', 'Enlève la fluorose dentaire', 'Facile à appliquer']",Blanchiment Dentaire 10ml,Blanc bleue,beaute-hygiene-sante
LANCET Lot de 10 Lames tranchantes,38,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/44779/1.jpg?9088,LANCET,"['Type Produit : Hygiène', 'Marque : LANCET', 'Nom : Lame', 'Livraison à domicile ou en point relais']",1,Jumia Mall/Food,beaute-hygiene-sante
Generic Tondeuse à Cheveux Rechargeable Pour Homme - Noir/Or,2900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/68849/1.jpg?8627,Generic,"['Professional Hairdressing Salon', 'Gender: Male (Male)', 'Item Style: Gold dragon', 'Name: hair clippers', 'Input voltage: Global universal (100-240V), 5060 z', 'Plug type: EU.US.UK (Add adapter). AU (Add adapter)', 'Power Type: Rechargeable', 'Charging method: USB charging station', 'Battery: 3.7V', 'Battery capacity: 1200mA', 'Wear resistance', 'Easy to clean', 'ON  OFF button', 'Easy to use one button switch.', 'For salon or household Professional hairdressing salon', 'Size: 135mm * 40mm * 25mm', 'Weight: 0.22kg', 'Please fully charge it before using it']",N/A,Noir/Or,beaute-hygiene-sante
Medex Baume Lèvres Roses - super qualité Rose,1100,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/875401/1.jpg?9850,Medex,"['Baume Lévres Roses', '100% naturelle', ""Durée variable selon l'individu"", 'Résultats satisfaisants', 'Usage sur les lévres']",1x2x1,N/A,beaute-hygiene-sante
TOPICREM Pack Lait de corp hydratant topicrem - 500 ml + cadeau offert,7900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/861811/1.jpg?8019,TOPICREM,"['Marque: topicrem', 'Type: hydratant', 'Couleur : rose blanc', 'Contenance: 500ml', 'Fabriqué en Europe']",Lait de corp hydratant,Blanc,beaute-hygiene-sante
Generic Balance Pesé Personne Eléctronique De Graisse Corporelle IMC,6600,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/51488/1.jpg?8690,Generic,"['Utilisateur: parfait pour la musculation, la perte de poids, junior, etc.', 'Qualité supérieure: fabriqué avec une plate-forme en verre trempé de haute qualité, un boîtier en ABS et un fond en caoutchouc, durable et antidérapant.', ""Plage de pesée: le poids maximum est jusqu'à 180 lbs  kg."", ""Marche  Arrêt automatique: la balance s'allume ou s'éteint automatiquement, pratique et facile à utiliser."", ""Écran LCD: L'écran LCD affiche clairement les données, ce qui vous permet de les lire facilement."", 'Écran tactile: écran tactile sensible, facile à utiliser.', ""Bord lisse: chaque coin de l'échelle est lisse, il ne sera pas rayé lors de son utilisation.""]",6023,Noir,beaute-hygiene-sante
Oud Parfum Oud Orchid Premium - 100 ML,3150,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/236811/1.jpg?5628,Oud,"['Type de produit : Eau De Parfum', 'Contenance : 80 ml 2,7 floz', 'Composition : Alcool , Parfum ,Water , Butylphenyl , Methylpropapional , Benzyl , Limonene', 'Notes de tête : Vanille salée, jasmin', 'Notes de cœur : Fleur de gingembre, mandarine verte', 'Notes de fond : Ambre gris, bois de cachemire']",DARK Brown,marron,beaute-hygiene-sante
Bio Naturelle Nouveau Attoté original 100% naturel - 500ml,5220,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/60099/1.jpg?3711,Bio Naturelle,"['Faiblesse Sexuelle', 'À base de jus de petit cola', 'Très efficace']",500ml,Neutre,beaute-hygiene-sante
Generic Tondeuse A Cheveux Electrique Rechargeable-Or,2990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/514001/1.jpg?6738,Generic,"['Puissance : 5W', 'Batterie : batterie lithium-ion 18500 mAh', 'Temps de charge : 3 heures', ""Temps d'utilisation : 3 heures"", 'Méthode de charge : charge de la batteriecharge directe USB', 'Ajustement fin de la tête de coupe à double usage : pas de zéro réglable', ""Type de tête d'outil: dents denses de sécurité à angle aigu""]",B021,Or,beaute-hygiene-sante
TOPICREM Topicrem Lait Corps Ultra-Hydratant - 500 ml,7500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/983021/1.jpg?1323,TOPICREM,"['Lait Corps 500 ml.', 'Hydrate pendant 24h les peaux sèches et sensibles.', 'Riche en agents hydratants.', 'Pénètre rapidement et fait disparaître les signes de sécheresse cutanée.', 'Idéal pour les peaux sèches, déshydratées.']",0.5,Blanc,beaute-hygiene-sante
Generic Lisseur cheveux CREPUS - Peigne électrique chauffante,6500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/11579/1.jpg?8628,Generic,"['marque', 'CKL 1056', 'Utilisation', 'étendue', 'Nombre de produits', '964']",Lisseur,Noir,beaute-hygiene-sante
Generic 2000mAh Rechargeable Tondeuse A Cheveux Sans Fil-Blanc,7990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/544611/1.jpg?1463,Generic,"['Couleur blanche', 'Logement ABS', 'Batterie de Li-on :2000MAh.', 'Lumière à LED.', 'Accessoires :4 peignes de guidage, brosse de nettoyage et adaptateur']",Hair Clipper,Cream,beaute-hygiene-sante
Generic Tondeuse A Cheveux Electronique - Or,3320,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/589711/1.jpg?4354,Generic,"['Professional Hairdressing Salon', 'Gender: Male (Male)', 'Item Style: Gold dragon', 'Name: hair clippers', 'Input voltage: Global universal (100-240V), 5060 z', 'Plug type: EU.US.UK (Add adapter). AU (Add adapter)', 'Power Type: Rechargeable', 'Charging method: USB charging station', 'Battery: 3.7V', 'Battery capacity: 1200mA', 'Wear resistance', 'Easy to clean', 'ON  OFF button', 'Easy to use one button switch.', 'For salon or household Professional hairdressing salon', 'Size: 135mm * 40mm * 25mm', 'Weight: 0.22kg', 'Please fully charge it before using it']",Rechargeable Monster Metal Hair Clipper Gold,Or,beaute-hygiene-sante
Generic Brosse Nettoyante Electrique Pour Visage - 5 In 1 - Rose/Blanc,2480,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/14906/1.jpg?8687,Generic,"['Type de produit \u200e:\u200e Brosse Electrique pour soins de Visage 5 En 1', 'Formulation : il est composé de 5 têtes spécifiques pour un entretien optimal du visage', 'Particularité : Il garantit une bonne exfoliation, un nettoyage et un massage idéal de votre peau.', 'Capacité : 0.150kg', 'NB: piles non fournies']",FC001,Rose/Blanc,beaute-hygiene-sante
