modele,Nom,couleur,cathegorie,marque,prix,Description,link
STT-5032SA,"SMART TECHNOLOGY SMART TV 32"" - HDMI - FHD - 3D -Wifi - Régulateur + Décodeur Intégré - Noir - Garantie 12 Mois",Noir,electronique,SMART TECHNOLOGY,59900,"['Pas de Support Mural', 'Type de produit : SMART TV', 'Modèle : STT-5032SA', 'Ecran : 32 Pouces', 'Résolution : HD 1080p (1920x1080p)', 'Interface : HDMI, USB', 'Tension : 100 - 240 V', 'Fréquence : 50 - 60 Hz', 'Dimensions : 79.7 X 10.8 X 48.3 cm', 'Poids : 3.8Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/410911/1.jpg?5126
NLE-32A-C,Nexon TV LED ULTRA SLIM SANS BORDURE 32 Pouces - HD - NLE-32A-C - Noir,Noir,electronique,Nexon,48900,"['Type produit : TV LED', 'Marque : Nexon', 'Modèle :\xa0NLE-32A-C', 'taille : 32 pouces (81 cm)', 'Résolution affichage : 1366x768 pixels', 'Ratio : 16:9', 'Contraste ratio : 3000:1', 'Luminosité : 180cdm2', 'Temps de réponse : 8.5ms', 'Haut-parleurs : 2x6W', 'USB :\xa0 x2', 'HDMI : x2', 'Alimentation : 100-240V  50-60HZ', 'Consommation : 55W', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/051121/1.jpg?5921
1,Nexon NEXON Bouilloire Electrique 2 Litres – 1500W - NEK- 180 - Silver,Silver,electronique,Nexon,3950,"['Type de produit : Bouilloire électrique', 'Marque : NEXON', 'Référence : NEK- 180', 'Capacité : 2 Litres', 'Puissance : 1500 Watts', 'Tension : 220-240 V', 'Fréquence : 5060 Hz', 'Protection de sécurité', 'Corps en acier inoxydable de haute qualité couvercle intérieur plastique', 'Design ergonomique', ""Economie d'énergie"", 'Rotation de la base à 360 degrés', 'Longueur du câble : 60cm']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/566121/1.jpg?6542
SN-HK32D2-R,"Hikers TV 32"" - LED - Sans Bordure - HD -USB-HDM - Support Mural Offert - Noir",Noir,electronique,Hikers,47900,"['Type de produit :\xa0TV LED', 'Marque : Hikers', 'Ecran : 32""', 'Sans Bordure -', 'HD -USB-HDM', 'Support Mural Offert']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/258911/1.jpg?3253
SN-HK32D2-S,"Hikers Smart TV Android-32""-LED HD + Décodeur Intégré+Régulateur De Tension-USB-HDMI",Noir,electronique,Hikers,59900,"['Frameless', '1 Year Warranty', 'A Class Display: 32 Inch MAX Display Mode (1366 X 768)', 'Eco-Friendly', 'Automatic Volume Leveller (AVL)']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/848911/1.jpg?9510
NLE-43S-C,Nexon Smart TV Android LED 43 Pouces - Ultra Slim Sans Bordures - Full HD - Noir,Noir,electronique,Nexon,99900,"['Type de produit : Téléviseur', 'Marque : Nexon', 'Modèle : NLE-43S-C', 'Ecran : 43 Pouces (108 cm)', 'Résolution : Full HD 1920x1080 pixels', 'Contraste ratio : 4000:1', 'Luminosité : 220cdm2', 'Affichage couleurs : 16.7 Millions', 'Aspect ratio : 16:9', 'Smart Tv : Oui', 'HDMI : x3', 'USB : x2', 'Entrée audio : x1', 'Haut parleurs : 2x6W', 'Android : Oui', 'Android DDR : 1Go', 'Android Flash : 8Go', 'Version Android : Android 11', 'Alimentation : 100-240V - 5060Hz', 'Consommation : 75W', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/328121/1.jpg?5445
43AB111D,Astech Téléviseur LED 43 Pouces - Smart Android - 43AB111D - Noir - Garantie 12 Mois,Noir,electronique,Astech,124600,"['Type Produit : Téléviseur Led', 'Marque : Astech', 'Modèle : 43AB111D', 'Smart\xa0Android TV', 'Ecran : 43 pouces (108 cm)', 'Smart Hub et une fonction à distance', 'Technologie de mise en miroir d’écran mobile', 'Connectivité Wi-Fi et Ethernet intégrée', 'Accédez à l’interface Smart TV de Samsung', 'Navigateur Web complet', '2 x ports HDMI', '1 x port USB', '1 x port vidéo composante', 'PurColor', 'Dolby Digital Plus', 'Hub intelligent avec vos applications préférées: Youtube, Netflix, etc.', 'Garantie: 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/986911/1.jpg?7769
CA820454,Fer à Repasser à Vapeur CAC Petit Modele - 1400W / 220-240V - CA820454,MAUVE BLANC,electronique,(23 avis vérifiés),6000,"['Type de Produit : Fer à Repasser A Vapeur', 'Marque : CAC', 'Puissance : 1400W', 'Matériau du corps: Plastique', 'Voltage: 220 -224V - 50 Hz', 'Facile a ranger']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/507121/1.jpg?1589
STR-135H,SMART TECHNOLOGY Réfrigérateur Bar 2 Portes 100 Litres - Gris - STR-135H-Garantie 12 Mois,Gris,electronique,SMART TECHNOLOGY,79900,"['Type de produit : Réfrigérateur 2 battants', 'Marque : Smart Technology', 'Modèle : STR-135H', 'Nombre de portes : 2', 'Volume brute: 100 L', 'Volume total net : 68 L', 'Capacité de congélation: 2.0 kg24h', 'Tension : 220-240V', 'Fréquence : 50Hz', 'Courant nominal: 1A', ""Puissance d ' entrée nominale: 100 W"", 'Puissance lampe: 15 W', 'Réfrigérant : R600a', 'Poids du réfrigérant: 32g', 'Design modernisé', 'Ergonomique et élégant', 'Poids net : 21 Kg', 'Garantie : 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/06888/1.jpg?8685
43A4G,Hisense Smart TV LED 43 Pouces - 43A4G - Full HD - U4- Noir - Garantie 12 mois,Noir,electronique,Hisense,144200,"['Type de Produit : TV LED', 'Marque : Hisense', 'Modèle : 43A4G', 'Smart TV', 'Écran : 43 Pouces (108 cm)', ""Résolution d'écran : Full HD : 1920x1080 pixems"", 'Haut-parleurs : 10W', 'HDMI : 2', 'USB : 2', 'Navigation Web : Oui', 'Ethernet : Oui', ""Système d'exploitation : VIDAA U4"", 'Alimentation électrique : AC220-240V 5060Hz', 'Audio : Oui']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/258911/1.jpg?0486
