Nom,prix,link,marque,Description,modele,couleur,cathegorie
Generic Clé USB 128 Go Vitesse 2.0 Métal Etanche 3D - Noir,3480,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/024501/1.jpg?3429,Generic,"['Type de produit : Clé USB', 'Capacité : 128GB', 'Matière : Métal\xa0Etanche 3D Embossé\xa0+ micro USB + type C', 'Prise en charge de la version USB 2.0', 'Plug & Play à chaud', 'Stockage à semi-conducteurs durable', ""Aucune alimentation externe n'est requise 4,5 V ~ 5,5 V depuis le port USB"", 'Compatible avec USB 1.12.0', 'Température de fonctionnement : -10 à + 55 °C', 'Température de stockage : -20 à + 55 degrés C', 'Vie : 1 million de fois', ""Taux de lecture : 12 Mb-18 Mbs Taux d'écriture : 5-10 Mbs"", 'Excellente clé USB en excellent état', ""NB :\xa0Cet article n'est pas compatible avec la télévision""]",Clé USB 128GB Metal étanche 3D Embossé  + adaptateur micro USB type C,Noir,ordinateurs-accessoires-informatique
Generic Clé OTG 128 Go  USB Type C - Noir,3500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/44999/1.jpg?0385,Generic,"['CLÉ USB OTG 3 EN 1, USB + micro USB + USB de type C tous ensemble dans une seule unité', '· Prend en charge la version USB 2.0', '· Capacité : 128 Go', '· Plug & Play à chaud', ""· Stockage à l'état solide durable"", ""· Aucune alimentation externe n'est requise 4,5 V ~ 5,5 V depuis le port USB"", '· Compatible avec USB 1.12.0', '· Température de fonctionnement : -10 à +55 °C', '· Température de stockage : -20 à +55 °C', '· Durée de vie :>1 million de fois', ""· Taux de lecture : 12 Mb-18 Mbs Taux d'écriture : 5-10 Mbs"", '· Excellente clé USB en excellent état']",Clé USB 3 en 1 128G,noir,ordinateurs-accessoires-informatique
Generic 2 En 1 Clé USB Micro Android OTG 64Go - Noir,2790,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/36019/1.jpg?0918,Generic,"['Type de produit: Clé USB', 'Interface : USB 2.0', 'Matériel : Métal', 'Modèle : OTG-Micro USB', 'Quantité: 1']",UD003,Noir,ordinateurs-accessoires-informatique
Generic 128 GB Metal Usb Flash Drive Adapter Cable 2 In 1 Set,3950,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/551401/1.jpg?6352,Generic,"['2 PCS EN 1 SET', '128 GB Usb Flash Drive+ 2 IN 1 OTG USB cable adapter (Type C & micro usb)', 'Supporte la version USB 2.0', 'Capacité : 128GB', 'Plug & Play à chaud', ""Stockage durable à l'état solide"", ""Aucune alimentation externe n'est requise 4.5V ~ 5.5V du port USB"", 'Compatible avec USB 1.12.0', 'Température de fonctionnement : -10 à +55°C', 'Température de stockage : -20 à +55Deg.C', 'Durée de vie : >1 million de fois', ""Vitesse de lecture : 12Mb-18MbS Vitesse d'écriture : 6-10 MbS"", 'Excellente clé USB en excellent état']",N/A,gris,ordinateurs-accessoires-informatique
Generic Clé USB Flash Drive 64GB  2.0 - Argent,2280,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/514001/1.jpg?0408,Generic,[],USB-HK-16,Gris,ordinateurs-accessoires-informatique
General 2 En 1 Clé USB - OTG 128Go - Tête Type C Offert - Violet,3380,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/358021/1.jpg?2402,General,[],USB-LC-ZS-128,Violet,ordinateurs-accessoires-informatique
Generic Souris Sans Fil Rechargeable 2.4G argent - Argent,2380,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/68849/1.jpg?5183,Generic,"['Transmission stable 2,4 G, Plug and Play, distance de connexion de 10 m', 'Interface rechargeable Microre, ne payez plus les batteries', 'Clic silencieux, ne plus interrompre les autres', ""Pré-alarme intelligente : une fois à faible puissance, la souris fonctionne lentement pour pré-alarmer l'utilisateur pour charger la souris, elle ne s'éteindra pas soudainement à cause de l'absence d'alimentation."", 'Attention, la souris a une fonction de veille intelligente, si votre PC est en état de veille, la souris passera automatiquement en état de veille.', 'Lumière LED de respiration colorée (peut être désactivée) le bouton de commande en bas de la souris', ""Sensibilité jusqu'à 1600 DPI, commutateur: 800DPI  1200DPI  1600DPI"", '4 boutons avec molette de défilement, adaptés aux systèmes optiques de haute précision de la boîte Android de bureau Smart TV Score', 'Molette de défilement ultra-précise', 'La technologie optique fonctionne sur la plupart des surfaces et sur tous les tapis de souris', ""Design ergonomique, plusieurs heures d'utilisation sans fatigue""]",Mini Souris Sans Fil Rechargeable 2.4G argent,argent,ordinateurs-accessoires-informatique
Generic Stylo à bille USB Flash Drive 128 Go OTG + micro USB + Type C noir,3580,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/21489/1.jpg?8631,Generic,"['Clé USB OTG 128 Go + stylo à bille + stylet tactile + micro USB + type C', 'Prise en charge de la version USB 2.0', 'Capacité : 128 Go', 'Plug & Play à chaud', 'Stockage à semi-conducteurs durable', ""Aucune alimentation externe n'est requise 4,5 V ~ 5,5 V depuis le port USB"", 'Compatible avec USB 1.12.0', 'Température de fonctionnement : -10 à + 55 °C', 'Température de stockage : -20 à + 55 degrés C', 'Vie :> 1 million de fois', ""Taux de lecture : 12 Mb-18 Mbs Taux d'écriture : 5-10 Mbs"", 'Excellente clé USB en excellent état']",Stylo bille 3 en 1 + stylet + clé USB,noir,ordinateurs-accessoires-informatique
Generic Clé USB 64GB Métal Etanche 3D Embossé - Noir,2590,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/024501/1.jpg?3418,Generic,"['Type de produit : Clé USB 64GB Metal étanche 3D Embossé\xa0+ micro USB + type C', ""NB : Cet article n'est pas compatible avec la télévision"", 'Prise en charge de la version USB 2.0', 'Capacité : 64 Go', 'Plug & Play à chaud', 'Stockage à semi-conducteurs durable', ""Aucune alimentation externe n'est requise 4,5 V ~ 5,5 V depuis le port USB"", 'Compatible avec USB 1.12.0', 'Température de fonctionnement : -10 à + 55 °C', 'Température de stockage : -20 à + 55 degrés C', 'Vie :> 1 million de fois', ""Taux de lecture : 12 Mb-18 Mbs Taux d'écriture : 5-10 Mbs"", 'Excellente clé USB en excellent état']",Clé USB 64GB Metal étanche 3D Embossé  + adaptateur micro USB type C,noir,ordinateurs-accessoires-informatique
Generic Souris Bluetooth sans fil rechargeable-noir,1990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/531021/1.jpg?5066,Generic,"['Interface : USB', 'Nombre de clés : 3 (clés)', 'Distance de fonctionnement : 10 (m)', 'Direction de la roue: roue tactile', 'Méthode de travail : photoélectrique', 'Résolution optique : 1 600 dpi (dpi)', 'Résolution réglable : trois vitesses et moins', 'Fréquence de transmission sans fil : 2,4 GHz', 'Connexion avec ordinateur : 2.4G+Bluetooth', ""Que ce soit pour soutenir l'ergonomie: support"", 'Taille du produit : 112*58*25MM', 'Poids du produit : 0,07 (KG)']",Souris,noir,ordinateurs-accessoires-informatique
