Nom,prix,link,marque,Description,modele,couleur,cathegorie
Music Pioneer F9 Oreillette Bluetooth Stéréo BT5.3 + Power Banks 2000mAh - Noir,2900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/737021/1.jpg?8686,Music Pioneer,"['Type de produit: Oreillette Bluetooth', 'Marque: Music Pioneer', 'Modèle: F9', 'Version Bluetooth: 5.3', 'Haut-parleur: 8mm', 'Capacité de la batterie du casque: 50M-AH', 'Capacité de la batterie du boîtier de charge: 2000M-AH', 'Distance de transmission: > 10m', 'Temps de conversation: 4 heures', 'Temps de lecture: 4 heures']",F9,Noir,telephone-tablette
Music Pioneer Écouteur Bluetooth M10 V5.3 9D Stéréo - 2000mAh,2900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/737021/1.jpg?2326,Music Pioneer,"['Marque: Music Pioneer', 'Modèle: M10', 'Version Bluetooth: 5.3', 'Haut-parleur casque: φ8mm', 'Capacité de la batterie du casque: 50MAH', 'Capacité de la batterie du boîtier de stockage: 2000MAH', 'Distance de transmission: > 10m', 'Temps de conversation: 4 heures Temps de lecture: 4 heures', 'Système de support: tous les appareils et téléphones portables compatibles Bluetooth\u200b']",M10,Noir,telephone-tablette
P47 Casque Audio Bluetooth - P47 + EDR - Version 2022 - couleur Noir,2500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/052511/1.jpg?5080,P47,"['Version Bluetooth\xa0: ISSC 4.1 + EDR.', 'Profils pris en charge : HSP, HFP A2DP et AVRCP.', 'Profil et le profil de distribution audio avancé (A2DP)', 'Distance de fonctionnement\u202f: environ 10\xa0m', 'Puissance de transmission\u202f: classe 2', 'Gamme de fréquences : 2.4026-2,480\xa0GHz.', 'Résistance\u202f: 32\xa0ohm.', 'Sensibilité\xa0: -105 dB ± 3 dB.', 'Batterie au lithium rechargeable 300\xa0mAh.', 'Autonomie en discussion : 8\xa0heures.', 'Autonomie en mode musique\xa0: 4 heures', 'Autonomie en mode veille\xa0: 120 heures.', 'Durée de recharge : 2-3 heures.']",Casque Audio Bluetooth - P47,Noir,telephone-tablette
Kgtel 1280 Téléphone KGT tél double sim original,3990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/157121/1.jpg?6772,Kgtel,"['Produits téléphone KGtel', 'Marque -Kgtel', 'Qualité bonne', ""Poids -0'50 kg"", 'Mathier téléphonique']",MT 350,Noir,telephone-tablette
Samsung Galaxy A03 Core - RAM 2Go - ROM 32Go - Onyx,42900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/608201/1.jpg?9289,Samsung,"['Type Produit : Smartphone', 'Marque : Samsung', 'Modèle : Galaxy A03 Core', 'Taille écran : 6.5', '4G', ""Résolution d'affichage : HD+ 720x1480 Pixels"", 'RAM : 2Go', 'ROM : 32Go', 'Dual SIM', 'Processeur : QUad-core 1.5 GHz', 'Caméra principale : 8MP', 'Caméra secondaire (selfie) : 5MP Megapixels', 'GPS : OUI', 'Bluetooth : OUI', 'USB : OUI', 'Batterie : 5000mAh', 'Vendu sans les écouteurs']",A03 Core,onyx,telephone-tablette
"Tecno Spark 10c - 6.6"" - ROM 128Go - RAM 4Go - Photo 50MP - 5000mAh- Dual SIM – Garantie 12 Mois - Noir - Garantie 12 mois",65700,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/048911/1.jpg?8858,Tecno,"['Type Produit : Smartphone', 'Marque : TECNO', 'Modèle : KI5K', 'Taille écran : 6.6""', ""Résolution d'affichage : FHD+ 1080*2460 pixels"", 'Réseau : 4G', 'RAM : 4Go', 'ROM : 128 Go', 'Dual SIM', 'Caméra principale : 50 Megapixels', 'Caméra secondaire (Selfie) : 32 Megapixels', 'GPS : OUI', 'Bluetooth : OUI', 'USB : OUI', 'G-Capteur', 'Boussole électronique', 'Capteur de lumière ambiante', 'Capteur de proximité', 'Capteur d’empreintes digitales latéral', 'Batterie : 5000mAh']",KI5K,Noir,telephone-tablette
Samsung Galaxy A04e - RAM 3Go - ROM 32Go - Bleu Clair,50900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/271611/1.jpg?1348,Samsung,"['Type Produit : Smartphone', 'Marque : Samsung', 'Modèle : Galaxy A04', 'Taille écran : 6.5""', '4G', ""Résolution d'affichage : HD+ 720x1600 pixels"", 'RAM : 3Go', 'ROM : 32Go', 'Dual SIM', 'Processeur : Octa-core (2.3 GHz & 1.8 GHz)', 'Android 12, One UI Core 4.1', 'Caméra principale : 13MP + 2MP', 'Caméra secondaire (selfie) : 2MP Megapixels', 'GPS : OUI', 'Bluetooth : OUI', 'USB : OUI', 'Batterie : 5000mAh']",Galaxy A04e,Bleu Clair,telephone-tablette
"Tecno POP 7 - Ecran 6.6"" HD - ROM 64Go - RAM 2Go - Dual SIM – 5000mAh - Orange - Garantie 12 mois",44900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/417121/1.jpg?8854,Tecno,"['Type produit : Smartphone', 'Marque : TECNO', 'Modèle :\xa0BF6', 'Nom : Pop 7', 'Dual SIM', 'Taille écran : 6.6""', 'Résolution : HD', 'ROM : 64Go', 'RAM : 2Go', 'Batterie : 5000mAh', ""Lecteur d'empreintes digitales"", 'Reconnaissance faciale', 'GPS : OUI', 'Bluetooth : OUI', 'USB : OUI']",BF6 64+2,Orange,telephone-tablette
"Infinix Smart 7 HD - 6.6""HD - Ram 2+2 Go - Rom 64 Go -  8Mpx - 5000mAh - 4G - Noir - Garantie 12 mois",42900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/543911/1.jpg?6426,Infinix,"['Type Produit : Smartphone', 'Marque : Infinix', 'Nom : Smart 7 HD', 'Modèle : X6516', 'RÉSEAU Technologie GSM  HSPA ', 'CORPS Dimensions 164,3*75,63*9,37mm', 'Construction Façade en verre, dos en plastique, cadre en plastique', 'SIM Double SIM (Nano-SIM, double veille)', ""ÉCRAN Type d'écran tactile capacitif IPS LCD, 16M couleurs"", 'Taille 6,6 pouces', 'Résolution 720 x 1612 pixels', 'PLATEFORME OS Android 12', 'Caractéristiques Flash triple LED', 'Vidéo 1080p@30fps', 'CAMÉRA SELFIE Simple 5MP', ""Dotée d'un flash double LED"", 'Vidéo 1080p@30fps', 'SON', 'Haut-parleur Oui', 'Prise jack 3,5 mm Oui', 'COMMS', 'WLAN Wi-Fi 802.11 abgnac, double bande, Wi-Fi Direct, hotspot Bluetooth 5.0, A2DP, LE', 'GPS Oui, avec A-GPS', 'Radio Radio FM', 'USB microUSB 2.0', 'Batterie de 5000mAh', 'Écran 6,6 pouces HD+ Waterdrop Sunlight', '4G LTE', 'Appareil photo selfie 5MP avec flash', 'Appareil photo arrière de 8MP avec double flash', '64GB ROM + 2GB RAM', 'Android 12', 'Déverrouillage par empreinte digitale et par visage', 'Garantie: 12 mois']",x6516,Noir,telephone-tablette
Samsung Galaxy A14 5G - 4Go - Dual SIM - 64Go - 5000 mAh - Light Green + Coque offert,79300,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/440911/1.jpg?4442,Samsung,"['Type de produit : Smartphone', 'Marque : SAMSUNG', 'Nom du modèle : A14 5G', 'Sans fil Déverrouillé pour tous les opérateurs', ""Système d'exploitation : Android 13.0"", 'Technologie cellulaire : 5G', 'Capacité de stockage de la mémoire : 64 GB', 'Technologie de connectivité : Bluetooth, Wi-Fi, USB', 'Couleur : Noir', ""Taille de l'écran : 6,6 pouces"", 'Technologie de réseau sans fil : GSM', 'Grand\xa0angle: 8mégapixels, FOV 123 °, 1,12 µm', 'Macro\xa0:\xa05 mégapixels, FOV 78 °, 1,12 µm', 'Profondeur\xa0:\xa02 mégapixels, champ de vision 85 °, 1,12 µm', 'Caméra frontale\xa0: 13mégapixels', 'Connectivité\xa0: double SIM, Bluetooth 5.x, NFC, USB Type-C', ""Batterie\xa0: 5000 mAh avec charge rapide d'au moins 25 W"", 'Autre\xa0: certification IP67']",Galaxy A14,Light Green,telephone-tablette
Samsung Galaxy A14 5G RAM 4Go - ROM 128Go - Light Green,88200,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/440911/1.jpg?8377,Samsung,"['Marque : SAMSUNG', 'Nom du modèle : A14 5G', 'Sans fil Déverrouillé pour tous les opérateurs', ""Système d'exploitation : Android 13.0"", 'Technologie cellulaire : 5G', 'Capacité de stockage de la mémoire :128 GB', 'Technologie de connectivité : Bluetooth, Wi-Fi, USB', ""Taille de l'écran : 6,6 pouces"", 'Technologie de réseau sans fil : GSM']",Galaxy A14,Light Green,telephone-tablette
"Tecno Camon 20 - 6.67""- 256Go - 8Go  - 64 Mpx  - 5000mAh - Android 13 - Dual SIM – Bleu - Garantie 12 mois",115900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/498911/1.jpg?7819,Tecno,"['Type de produit : Smartphone', 'Marque :\xa0Tecno', 'Modèle :\xa0Camon 20 Premier', 'Noms alternatifsCK9n (International)', 'Date de sortie\xa0Mardi 09 Mai 2023', 'Matériaux de fabrication Dos : cuir écologique', 'Avant: Verre', 'ÉCRAN', ""Technologie d'affichage\xa0AMOLED"", ""Taille de l'écran6.67 pouce"", 'Résolution1080 × 2400 px', 'Fréquence de rafraîchissement120Hz', ""Ratio d'aspect20:9"", 'Densité de pixels395 ppp', ""Taux d'occupation de l'écran≈ 88.1%"", 'Écran tactile Oui', 'Écran sans lunette Oui', 'CaractéristiquesAlways-On Display, Écran tactile capacitif, Multi-touches', 'MATÉRIEL', 'ChipsetMediaTek Dimensity 8050', 'Cœurs de processeurOcta-core', 'Technologie de processeur6 nm', 'Vitesse maximale du processeur3.0 GHz', 'Architecture du processeur64-bit', 'MicroarchitectureCortex-A78, Cortex-A55', 'Type de mémoireLPDDR4X', 'GPUARM Mali-G77 MC9', 'Mémoire Vive8GB', 'Stockage512GB', 'Stockage extensible Non', 'LOGICIEL', ""Système d'exploitationAndroid 13 (Tiramisu)"", 'Interface utilisateurHIOS 13', 'CAMÉRA PRINCIPALE', 'Caméra Oui', 'Caméra triple50 Mpx, f1.8, 23 mm ( Grand angle ), 1.0 μm, 11.5"" Taille du capteur', 'Autofocus laser', ""Stabilisation optique de l'image (OIS)"", 'PDAF', '108 Mpx, f2.2, 13 mm ( Ultra-grand angle )', 'PDAF', '2 Mpx, f2.4 ( Lentille de profondeur )', 'Flash Oui', 'Type de flashAnneau-LED Flash', 'CaractéristiquesPlage dynamique élevée (HDR)', 'Panorama', 'vidéo Oui', 'Résolution vidéo2160p @ 30 fps', '1080p @ 30 fps', 'Fonctionnalités vidéoHDR', 'CAMÉRA FRONTALE', 'Caméra Oui', 'Caméra unique32 Mpx, f2.5, 24 mm ( Grand angle ), 0.8 μm, 12.8"" Taille du capteur', 'Flash Oui', 'Type de flashFlash double LED', 'vidéo Oui', 'Résolution vidéo1080p @ 30 fps', 'BATTERIE', 'TypeLi-Poly', 'Capacité5000 mAh', 'AmovibilitéNon amovible', 'Vitesse de charge filaire45W', 'RÉSEAU', 'Cartes SIMDual SIM', 'Type de carte SIMNano-SIM', 'VoLTE Oui', 'Vitesse des données5G, LTE-A, HSPA', 'Bandes 2GGSM: 850  900  1800  1900 MHz', 'Bandes 3GHSPA: 850  900  1700  1900  2100 MHz', 'Bandes 4GLTE: b3 (1800), b41 (2500 MHz)', 'Bandes 5G5G: n1 (2100), n2 (1900 MHz)', 'CONNECTIVITÉ', 'Wi-Fi Oui ( Wi-Fi 5 )', 'Normes Wi-Fi802.11bagnac', ""Fonctionnalités Wi-FiBi-bande, Point d'accès pour mobiles"", 'Bluetooth Oui, v5.2', 'Ports USBUSB Type-C 2.0', 'USB On-The-Go', 'Connectivité USBChargement USB, Périphérique de stockage de masse USB', 'GPS Oui', 'Fonction GPSA-GPS', 'NFC Oui', 'MULTIMÉDIA', 'Haut-parleur Oui', 'Prise casque Non', 'Type de sonAudio 24 bits192 kHz, Stereo', 'Radio FM Oui', 'CARACTÉRISTIQUES', 'CapteursAccéléromètre', 'Boussole', 'Gyroscope', 'Capteur de proximité', ""Capteur d'empreintes digitales sous l'écran""]",CK6,Bleu,telephone-tablette
Samsung Galaxy A14 5G RAM 4Go - ROM 128Go - Noir,90800,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/440911/1.jpg?1089,Samsung,"['Marque : SAMSUNG', 'Nom du modèle : A14 5G', 'Sans fil Déverrouillé pour tous les opérateurs', ""Système d'exploitation : Android 13.0"", 'Technologie cellulaire : 5G', 'Capacité de stockage de la mémoire : 128 GB', 'Technologie de connectivité : Bluetooth, Wi-Fi, USB', 'Couleur : Noir', ""Taille de l'écran : 6,6 pouces"", 'Technologie de réseau sans fil : GSM']",Galaxy A14,Noir,telephone-tablette
"Tecno Spark 10 - 6.6"" - ROM 128Go – 8Go – 50MP - 5000mAh- Dual SIM - Bleu - Garantie 12 mois",73700,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/883911/1.jpg?8858,Tecno,"['Type Produit : Smartphone', 'Marque : TECNO', 'Modèle : KI5Q', 'Serie: TECNO SPARK 10', 'IDA ENGINE 3.0', 'Téléchargement via Cellulaire plus rapide de 45%, Wifi de 300%, et Réseau de Camp de 90%.', 'ELLA 2.0', 'Un assistant digne de confiance, réactif et intelligent qui parle anglais, français et haoussa nigérian.', ""MODE ULTRA ÉCONOMIE D'ÉNERGIE"", ""Une excellente optimisation de l'énergie qui améliore de 30 % l'autonomie globale de la batterie."", 'AI GALLERY 5.0', 'Album géré par un algorithme qui classe les photos, recommande des couvertures et trie vos albums.', 'Résumé', 'Appareil photo arrière ultra clair de 50 mégapixels', '8MP Selfie lumineux avec double flash', 'Design iconique', '5000mAh Super Battery+18W Fast Charge', '128GB ROM , 16GB RAM(8GB Extended RAM)', '6.6"" HD+90Hz taux de rafraîchissement', 'Spécifications', 'Hauteur : 163,89 mm', 'Largeur : 75,39 mm', 'Épaisseur : 8,40 mm', 'Taux de rafraîchissement de 6,6"" HD+90Hz', 'Résolution 720*1612', 'Octa-core', '128GB ROM', '16GB RAM', '5000mAh(typ)+18W', 'Android 13', 'Réseau et connectivité', '2G', '3G', '4G', 'GPS', 'WIFI 2.4+5GHz', 'FM', 'GNSS', 'Type-C', 'NFC', 'Appareil photo et interface', 'Appareil photo arrière ultra clair de 50 mégapixels', '8MP Selfie lumineux avec double flash']",KI5Q,Bleu,telephone-tablette
